step,window,fill_count,fill_probability,fill_total,mean_window,sd_window,optional_reset_rate,forced_reset_rate
21,7,1584,0.02022343,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,8,958,0.01223109,78325,3.16165975,1.55697442,0.21088000,0.00587000
22,1,14586,0.18668885,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,2,13420,0.17176501,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,3,17201,0.22015871,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,4,21441,0.27442724,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,5,8603,0.11011135,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,6,907,0.01160886,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,7,1249,0.01598618,78130,3.09454755,1.48864286,0.21359000,0.00511000
22,8,723,0.00925381,78130,3.09454755,1.48864286,0.21359000,0.00511000
23,1,14232,0.17999696,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,2,14515,0.18357616,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,3,18115,0.22910659,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,4,22362,0.28281985,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,5,7497,0.09481712,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,6,734,0.00928315,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,7,1062,0.01343148,79068,3.04530278,1.42697901,0.20570000,0.00362000
23,8,551,0.00696869,79068,3.04530278,1.42697901,0.20570000,0.00362000
24,1,13540,0.17334306,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,2,15128,0.19367311,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,3,19128,0.24488228,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,4,22150,0.28357082,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,5,6299,0.08064165,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,6,634,0.00811665,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,7,797,0.01020343,78111,2.99750355,1.36700631,0.21592000,0.00297000
24,8,435,0.00556900,78111,2.99750355,1.36700631,0.21592000,0.00297000
25,1,13707,0.17467377,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,2,15911,0.20276022,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,3,20376,0.25965950,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,4,21742,0.27706698,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,5,5211,0.06640585,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,6,518,0.00660108,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,7,650,0.00828321,78472,2.93345397,1.32113331,0.21283000,0.00245000
25,8,357,0.00454939,78472,2.93345397,1.32113331,0.21283000,0.00245000
26,1,13661,0.17212443,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,2,16750,0.21104489,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,3,21191,0.26700014,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,4,22199,0.27970063,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,5,4395,0.05537566,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,6,416,0.00524147,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,7,487,0.00613605,79367,2.89231041,1.27236665,0.20421000,0.00212000
26,8,268,0.00337672,79367,2.89231041,1.27236665,0.20421000,0.00212000
27,1,13078,0.16647784,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,2,17577,0.22374836,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,3,21703,0.27627073,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,4,21577,0.27466680,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,5,3653,0.04650127,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,6,383,0.00487544,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,7,378,0.00481179,78557,2.85807757,1.23176753,0.21303000,0.00140000
27,8,208,0.00264776,78557,2.85807757,1.23176753,0.21303000,0.00140000
28,1,13012,0.16659412,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,2,18496,0.23680639,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,3,22342,0.28604717,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,4,20570,0.26336005,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,5,2908,0.03723145,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,6,317,0.00405859,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,7,294,0.00376412,78106,2.80575116,1.19496537,0.21767000,0.00127000
28,8,167,0.00213812,78106,2.80575116,1.19496537,0.21767000,0.00127000
29,1,13155,0.16918309,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,2,19075,0.24531869,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,3,22835,0.29367509,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,4,19522,0.25106744,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,5,2425,0.03118730,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,6,352,0.00452698,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,7,245,0.00315088,77756,2.76539431,1.17526510,0.22133000,0.00111000
29,8,147,0.00189053,77756,2.76539431,1.17526510,0.22133000,0.00111000
30,1,13610,0.17732668,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,2,19900,0.25928001,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,3,22425,0.29217860,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,4,18053,0.23521518,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,5,2155,0.02807781,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,6,310,0.00403904,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,7,178,0.00231919,76751,2.70664877,1.15870789,0.23124000,0.00125000
30,8,120,0.00156350,76751,2.70664877,1.15870789,0.23124000,0.00125000
31,1,14121,0.18292162,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,2,20795,0.26937575,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,3,22229,0.28795160,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,4,17421,0.22566939,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,5,1996,0.02585593,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,6,341,0.00441727,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,7,193,0.00250010,77197,2.67195616,1.15542549,0.22699000,0.00104000
31,8,101,0.00130834,77197,2.67195616,1.15542549,0.22699000,0.00104000
32,1,14153,0.18634137,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,2,21375,0.28142774,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,3,21596,0.28433748,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,4,16208,0.21339794,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,5,2001,0.02634559,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,6,381,0.00501633,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,7,147,0.00193543,75952,2.64075995,1.15003787,0.23950000,0.00098000
32,8,91,0.00119813,75952,2.64075995,1.15003787,0.23950000,0.00098000
33,1,14804,0.19411263,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,2,21826,0.28618632,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,3,21383,0.28037763,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,4,15419,0.20217662,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,5,2169,0.02844031,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,6,452,0.00592670,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,7,136,0.00178326,76265,2.61454140,1.15619286,0.23640000,0.00095000
33,8,76,0.00099653,76265,2.61454140,1.15619286,0.23640000,0.00095000
34,1,14897,0.19990338,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,2,21861,0.29335355,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,3,20396,0.27369466,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,4,14270,0.19148965,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,5,2408,0.03231304,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,6,508,0.00681687,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,7,125,0.00167738,74521,2.59387287,1.16436515,0.25391000,0.00088000
34,8,56,0.00075147,74521,2.59387287,1.16436515,0.25391000,0.00088000
35,1,16032,0.21700935,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,2,22069,0.29872626,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,3,19166,0.25943122,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,4,13116,0.17753834,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,5,2706,0.03662845,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,6,569,0.00770199,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,7,155,0.00209808,73877,2.55388010,1.19009987,0.26044000,0.00079000
35,8,64,0.00086630,73877,2.55388010,1.19009987,0.26044000,0.00079000
36,1,16828,0.22897730,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,2,21812,0.29679421,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,3,18799,0.25579655,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,4,12010,0.16341915,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,5,3120,0.04245360,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,6,702,0.00955206,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,7,166,0.00225875,73492,2.53501061,1.21265819,0.26403000,0.00105000
36,8,55,0.00074838,73492,2.53501061,1.21265819,0.26403000,0.00105000
37,1,17481,0.23819646,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,2,21491,0.29283680,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,3,17818,0.24278843,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,4,11571,0.15766668,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,5,3908,0.05325049,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,6,896,0.01220891,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,7,177,0.00241181,73389,2.54441401,1.25427763,0.26504000,0.00107000
37,8,47,0.00064042,73389,2.54441401,1.25427763,0.26504000,0.00107000
38,1,17840,0.24870351,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,2,21261,0.29639491,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,3,16646,0.23205822,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,4,10112,0.14096916,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,5,4504,0.06278927,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,6,1077,0.01501422,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,7,230,0.00320638,71732,2.53493559,1.29425212,0.28140000,0.00128000
38,8,62,0.00086433,71732,2.53493559,1.29425212,0.28140000,0.00128000
39,1,18686,0.26110164,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,2,21164,0.29572702,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,3,15043,0.21019758,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,4,9317,0.13018752,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,5,5723,0.07996814,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,6,1302,0.01819300,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,7,279,0.00389850,71566,2.54599950,1.35216686,0.28300000,0.00134000
39,8,52,0.00072660,71566,2.54599950,1.35216686,0.28300000,0.00134000
40,1,19159,0.27070676,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,2,20770,0.29346935,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,3,13567,0.19169469,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,4,8279,0.11697799,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,5,6990,0.09876508,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,6,1625,0.02296041,70774,2.57132563,1.41706537,0.29052000,0.00174000
40,7,305,0.00430949,70774,2.57132563,1.41706537,0.29052000,0.00174000
